Region,Old Region,Division,SchoolID,School Name,District,Legislative District,Barangay,Modified COC,TotalEnrolment,Instructional.Rooms,Classroom.Requirement,Shifting,OwnershipType,ElectricitySource,WaterSource,Est.CS,SBPI,Lat,Long
CAR,CAR,Baguio City,305286,Pinget National High School,District I,Lone District,PINGET,JHS with SHS,524,17,16,Single Shift,With Adverse Claims,GRID SUPPLY,Piped line from Local Service Provider,1,2.325,,
CAR,CAR,Baguio City,136396,Pinget Elementary School,District III,Lone District,PINGET,Purely ES,768,19,23,Single Shift,PP,GRID SUPPLY,Without Water Supply Source,5,1.9,,
CAR,CAR,Baguio City,136398,Quirino Hill ES,District III,Lone District,"QUIRINO HILL, MIDDLE",Purely ES,440,13,14,Single Shift,Tax Dec,GRID SUPPLY,Without Water Supply Source,0,2.55,,
CAR,CAR,Baguio City,305280,Irisan National High School,District I,Lone District,IRISAN,JHS with SHS,1533,42,42,Single Shift,PP,GRID SUPPLY,Piped line from Local Service Provider,10,1.6,,
CAR,CAR,Baguio City,136388,Elpidio R. Quirino Elementary School,District I,Lone District,IRISAN,Purely ES,1475,42,43,Single Shift,For Verification,GRID & OFF-GRID SUPPLY,Piped line from Local Service Provider,3,NA,,
CAR,CAR,Baguio City,305285,Pinsao National High School,District I,Lone District,PINSAO PILOT PROJECT,JHS with SHS,440,14,17,Single Shift,SP,GRID SUPPLY,Natural Resources,4,1.9,,
CAR,CAR,Baguio City,136397,Pinsao Elementary School,District III,Lone District,PINSAO PILOT PROJECT,Purely ES,594,27,21,Single Shift,PP,GRID SUPPLY,Natural Resources,0,2.35,,
CAR,CAR,Baguio City,136394,Lucban Elementary school,District III,Lone District,NEW LUCBAN,Purely ES,2438,76,74,Single Shift,PP,GRID & OFF-GRID SUPPLY,Piped line from Local Service Provider,0,2.3,,
CAR,CAR,Baguio City,221504,Brookspoint Elementary School,District III,Lone District,BROOKSPOINT,Purely ES,186,6,7,Single Shift,Tax Dec,GRID SUPPLY,Piped line from Local Service Provider,1,2.025,,
CAR,CAR,Baguio City,136400,Dona Aurora Elementary School,District III,Lone District,"AURORA HILL, SOUTH CENTRAL",Purely ES,1104,39,37,Single Shift,Tax Dec,GRID & OFF-GRID SUPPLY,Piped line from Local Service Provider,0,2.4,,
CAR,CAR,Baguio City,305270,Dona Aurora National High School,District I,Lone District,AURORA HILL PROPER (MALVAR-SGT. FLORESCA,JHS with SHS,614,24,19,Single Shift,PP,GRID SUPPLY,Piped line from Local Service Provider,1,2.125,,
CAR,CAR,Baguio City,136392,Alfonso Tabora ES,District III,Lone District,NEW LUCBAN,Purely ES,277,6,11,Single Shift,SP,GRID SUPPLY,Piped line from Local Service Provider,1,2.275,,
CAR,CAR,Baguio City,305283,Magsaysay National High School,District I,Lone District,NEW LUCBAN,JHS with SHS,844,24,24,Single Shift,PP,GRID & OFF-GRID SUPPLY,Piped line from Local Service Provider,7,1.775,,
CAR,CAR,Baguio City,136395,Magsaysay Elementary School,District III,Lone District,NEW LUCBAN,Purely ES,404,22,15,Single Shift,SP,GRID SUPPLY,Piped line from Local Service Provider,0,2.2,,
CAR,CAR,Baguio City,136401,Doña Nicasia Puyat ES,District III,Lone District,"MODERN SITE, EAST",Purely ES,387,15,14,Single Shift,SP,GRID SUPPLY,Piped line from Local Service Provider,0,2.2,,
CAR,CAR,Baguio City,136399,Don Mariano Marcos Elementary School,District III,Lone District,BROOKSIDE,Purely ES,271,15,10,Single Shift,SP,GRID SUPPLY,Piped line from Local Service Provider,0,2,,
CAR,CAR,Baguio City,305282,Guisad Valley National High School,District III,Lone District,CRESENCIA VILLAGE,JHS with SHS,1928,49,53,Single Shift,Tax Dec,GRID SUPPLY,Piped line from Local Service Provider,18,1.9,,
CAR,CAR,Baguio City,136393,Bonifacio Elementary school,District III,Lone District,CRESENCIA VILLAGE,Purely ES,889,31,29,Single Shift,PP,GRID SUPPLY,Piped line from Local Service Provider,0,2.3,,
CAR,CAR,Baguio City,136402,Gibraltar Elementary School,District II,Lone District,GIBRALTAR,Purely ES,474,15,17,Single Shift,Tax Dec,GRID SUPPLY,Piped line from Local Service Provider,1,2.475,,
CAR,CAR,Baguio City,221507,Holy Ghost Extension ES,District III,Lone District,HOLY GHOST EXTENSION,Purely ES,246,6,9,Single Shift,For Verification,GRID SUPPLY,Piped line from Local Service Provider,5,NA,,
CAR,CAR,Baguio City,305276,Rizal National High School,District I,Lone District,GIBRALTAR,JHS with SHS,1135,21,33,Single Shift,PP,GRID & OFF-GRID SUPPLY,Piped line from Local Service Provider,18,2.1,,
CAR,CAR,Baguio City,136404,Rizal Elementary School,District II,Lone District,GIBRALTAR,Purely ES,1557,22,48,Single Shift,TCT / OCT,GRID SUPPLY,Piped line from Local Service Provider,11,1.75,,
CAR,CAR,Baguio City,340055,Baguio City National Science High School,District I,1st District,IRISAN,JHS with SHS,1771,65,48,Single Shift,For Verification,GRID SUPPLY,Piped line from Local Service Provider,0,NA,,
CAR,CAR,Baguio City,221506,Fairview Elementary School,District I,Lone District,FAIRVIEW  VILLAGE,Purely ES,295,5,12,Single Shift,For Verification,GRID SUPPLY,Natural Resources,7,NA,,
CAR,CAR,Baguio City,136387,Quezon Hill Elementary School,District I,Lone District,MIDDLE QUEZON HILL SUBDIVISION(QUEZON HI,Purely ES,1470,42,46,Single Shift,PP,GRID & OFF-GRID SUPPLY,Piped line from Local Service Provider,1,2.375,,
CAR,CAR,Baguio City,305287,Quezon Hill National High School,District I,Lone District,QUEZON HILL PROPER,JHS with SHS,890,21,25,Single Shift,For Verification,GRID SUPPLY,Piped line from Local Service Provider,4,NA,,
CAR,CAR,Baguio City,136389,San Carlos Heights Elementary School,District I,Lone District,IRISAN,Purely ES,714,17,24,Single Shift,Tax Dec,GRID SUPPLY,Piped line from Local Service Provider,6,1.875,,
CAR,CAR,Baguio City,136385,Josefa Cariño Elementary School,District I,Lone District,PALMA-URBANO (CARIÑO-PALMA),Purely ES,1235,42,40,Single Shift,For Verification,GRID SUPPLY,Piped line from Local Service Provider,0,NA,,
CAR,CAR,Baguio City,305281,Pines City National High School,District I,Lone District,PALMA-URBANO (CARIÑO-PALMA),JHS with SHS,2783,73,70,Single Shift,PP,GRID & OFF-GRID SUPPLY,Piped line from Local Service Provider,4,1.95,,
CAR,CAR,Baguio City,136382,Baguio Central school,District I,Lone District,PALMA-URBANO (CARIÑO-PALMA),Purely ES,2989,84,95,Double Shift,Tax Dec,GRID & OFF-GRID SUPPLY,Piped line from Local Service Provider,14,1.575,,
CAR,CAR,Baguio City,221505,Irisan Elementary School,District I,Lone District,IRISAN,Purely ES,468,8,16,Single Shift,DOD,GRID SUPPLY,Piped line from Local Service Provider,8,1.975,,
CAR,CAR,Baguio City,136403,Apolinario Mabini ES,District III,Lone District,SALUD MITRA,Purely ES,1688,55,51,Single Shift,TCT / OCT,GRID & OFF-GRID SUPPLY,Piped line from Local Service Provider,1,2.025,,
CAR,CAR,Baguio City,305269,Baguio City High School,District I,Lone District,LEGARDA-BURNHAM-KISAD,JHS with SHS,6936,205,184,Single Shift,PP,GRID & OFF-GRID SUPPLY,Piped line from Local Service Provider,32,1.425,,
CAR,CAR,Baguio City,136383,Dominican-Mirador Elementary School,District I,Lone District,DOMINICAN HILL-MIRADOR,Purely ES,470,13,16,Single Shift,For Verification,GRID SUPPLY,Piped line from Local Service Provider,3,NA,,
CAR,CAR,Baguio City,136390,San Luis Elementary School,District I,Lone District,SAN LUIS VILLAGE,Purely ES,478,8,15,Single Shift,For Verification,GRID SUPPLY,Piped line from Local Service Provider,9,NA,,
CAR,CAR,Baguio City,305284,Joaquin Smith National High School,District I,Lone District,ASIN ROAD,JHS with SHS,838,30,26,Single Shift,SP,GRID SUPPLY,Piped line from Local Service Provider,2,2.025,,
