SchoolID,School Name,Municipality,Barangay,Latitude,Longitude
502203,Pag-asa Integrated School,Kalayaan,Pag-asa (Pob.),11.0532,114.2870
134485,Tayungan ES,Panamao,Tayungan,5.9682,121.2601
134402,Lahud PS,Lugus,Gapas Rugasan (Lahud),5.6823,120.8384
318401,Tongkil NHS (Annex),Banguingui (Tongkil),Luuk (Pob.),6.06988,121.78498
134636,Kandaga Primary School,Talipao,Kandaga,5.9860,121.0994
134478,Panglima Agga Central School,Panamao,Seit Lake (Pob.),5.9815,121.2121
318406,Lapak National School of Fisheries,Siasi,Bakud,5.5462,120.8145
134588,Nipa Nipa Elementary School,Siasi,Nipa-Nipa,5.5113,120.8520
134318,Panglima Indanan Central School,Indanan,Licup,5.9891,120.9532
134409,Sibul PS,Lugus,Sibul,5.6877,120.8839
217055,Bayog Primary School,Talipao,Andalan,5.9610,121.1282
134498,Husing I. Lao Memorial ES,Pangutaran,Simbahan (Pob.),6.3017,120.5849
311107,Enriqueta Montilla Esteban MHS-Ubay Ext.,Pulupandan,Ubay,10.5204,122.8287
134867,No Data Found,No Data,No Data,NA,NA
110186,Talabaan ES - Annex,Mamburao,TALABAAN,13.1495,120.6896
306349,Tagumpay High School,Coron,TAGUMPAY,12.0183,120.2569
502338,Alegria Integrated School,Barcelona,ALEGRIA,12.8659,124.1150
306333,Bagumbayan-East Washington National High School,Legazpi City,BGY. 16 - KAWIT-EAST WASHINGTON DRIVE,13.1423,123.7346
306377,San Antonio National High School,Pasacao,SAN ANTONIO,13.5856,122.9136
305930,Catalino G. Nava Farm School,San Lorenzo,CONSTANCIA,10.5914,122.6599
305978,GASTAV HIGH SCHOOL,Banisilan,GASTAY,7.5773,124.7231
305989,ESTADO HIGH SCHOOL,Matalam,ESTADO,7.1087,124.9721
134538,Paugan PS Annex II,Parang,PAUGAN,5.9150,120.9541
134537,Pang. Dammang PS Annex III,Parang,BIID,5.9429,120.9178
134529,Lahi PS,Parang,KANAWAY,5.9189,120.8906
134524,H. Tomoay Sabdani ES,Parang,LUPA ABU,5.9284,120.9034
134323,Pasil Elementary School,Indanan,PASIL,5.9518,120.9420
134436,Pang Elementary school,Luuk (Kalinggalan Calauang),PANG,5.9676,121.3133
134404,Laud Alu PS,Lugus,ALU BUS-BUS,5.6801,120.8650
305934,Quezon Farm School,San Carlos City,QUEZON,10.4360,123.2604
321908,"Antonio M. Lacson, Sr. Memorial High School",Bayawan City,NANGKA,9.4320,122.8274
137306,Central Philippines State University-Agricultural Education Outreach Project-Farmers Village & Training Center Elementary School,Kabankalan City,CAMINGAWAN,9.8661,122.8732
306375,San Isidro National High School,San Francisco,SAN ISIDRO,10.6173,124.3520
305747,Gacub Atad S. Iligan Tribal National High School,Carmen,HINAPOYAN,9.1646,125.8712
305745,Roma National High School,Rizal,ROMA,10.0968,125.5308
134394,SIOWING ELEM. SCHOOL,Laminusa,SIOWING,5.5445,120.9000
306041,Manaong National High School,Marilog,SALAYSAY,7.2651,125.2900
252534,Laminusa Laud ES-2,Laminusa,TAMPAKAN LAMINUSA,5.5552,120.9142
